product_name,brand,price,rating,reviews,category
Luminous Silk Foundation,Giorgio Armani,64,4.7,1243,Foundation
Rouge Lipstick,Dior,38,4.5,875,Lipstick
Glow Primer,Becca,36,4.3,322,Primer
Smooth Sunscreen,Neutrogena,12,4.2,412,Sunscreen
Hydrating Serum,The Ordinary,7,4.6,965,Serum
Matte Blush,NARS,30,4.4,543,Blush
Volume Mascara,Maybelline,8,4.1,125,Mascara
Nourishing Conditioner,Aveda,24,4.3,234,Conditioner
Radiant Eye Cream,Olay,28,4.5,875,Eye Cream
Daily Moisturizer,Cetaphil,10,4.4,654,Moisturizer
